variety,precio,puntos
Bual,212.0,96.5
Cabernet-Shiraz,150.0,96.0
Terrantez,236.0,95.0
Tinta del Pais,45.0,94.0
Riesling-Chardonnay,40.0,94.0
Pinot Noir-Syrah,80.0,93.0
Sämling,,93.0
Malbec-Cabernet,147.5,93.0
Blauburgunder,19.0,93.0
Muscadelle,119.16666666666667,92.83333333333333
Rosenmuskateller,150.0,92.5
Picolit,69.16666666666667,92.23076923076923
Shiraz-Malbec,25.0,92.0
Vespaiolo,40.0,92.0
Syrah-Petit Verdot,42.0,92.0
Loin de l'Oeil,30.0,91.66666666666667
Mission,61.333333333333336,91.33333333333333
Malbec-Carménère,43.0,91.0
Malbec-Petit Verdot,49.0,91.0
Cabernet Franc-Malbec,38.0,91.0
Vitovska,85.0,91.0
Muscat of Alexandria,26.0,91.0
Savagnin,56.166666666666664,91.0
Tokaji,60.27272727272727,91.0
Baga-Touriga Nacional,20.0,91.0
Prunelard,23.0,91.0
Bacchus,,91.0
Tinta Francisca,60.0,91.0
Tinta del Toro,35.0,91.0
Tempranillo-Malbec,,91.0
Romorantin,20.0,91.0
Torbato,20.0,91.0
Sangiovese Grosso,66.04776119402985,90.75544794188862
Neuburger,27.0,90.66666666666667
Roter Veltliner,40.0,90.625
Alsace white blend,32.266666666666666,90.625
Mourvèdre-Syrah,56.5,90.5
Timorasso,37.0,90.5
Carignan-Syrah,48.5,90.5
Grenache-Carignan,29.363636363636363,90.45454545454545
Malbec-Tannat,33.8,90.4
Scheurebe,44.54545454545455,90.36363636363636
Tannat-Cabernet,23.833333333333332,90.33333333333333
Roter Traminer,31.666666666666668,90.25
Moscadello,45.0,90.25
Tannat-Merlot,16.0,90.25
Cabernet Franc-Cabernet Sauvignon,32.142857142857146,90.14285714285714
Nebbiolo,65.01233480176211,90.10901162790698
Sagrantino,51.78846153846154,90.10344827586206
Blaufränkisch,34.02173913043478,90.0909090909091
Austrian white blend,30.884615384615383,90.08823529411765
Pedro Ximénez,41.72222222222222,90.05555555555556
Tinto Fino,68.64583333333333,90.02083333333333
Ugni Blanc,27.0,90.0
Zierfandler-Rotgipfler,23.333333333333332,90.0
Jaen,33.0,90.0
Braucol,23.666666666666668,90.0
Touriga,46.0,90.0
Shiraz-Grenache,26.571428571428573,90.0
Verduzzo,33.75,90.0
Nerello Cappuccio,37.5,90.0
Cesanese,20.0,90.0
Mavrotragano,50.0,90.0
Mavrud,16.0,90.0
Hárslevelü,26.0,90.0
Pinot-Chardonnay,26.333333333333332,90.0
Rieslaner,47.0,90.0
Orangetraube,22.0,90.0
Tinta Cao,14.0,90.0
Carignano,35.0,90.0
Moscatel Roxo,19.0,90.0
Rara Neagra,16.0,90.0
Shiraz-Roussanne,29.0,90.0
Früburgunder,40.0,90.0
Syrah-Grenache-Viognier,45.0,90.0
Schwartzriesling,25.0,90.0
Pinot Gris-Gewürztraminer,20.0,90.0
Nerello Mascalese,44.88405797101449,89.93055555555556
Shiraz-Viognier,58.8,89.85
Grüner Veltliner,26.659010600706715,89.83484848484848
Furmint,95.46666666666667,89.8
Austrian Red Blend,38.0,89.8
Durella,35.2,89.8
Cabernet-Syrah,26.6,89.8
Lambrusco di Sorbara,20.153846153846153,89.78571428571429
Provence red blend,28.8125,89.77777777777777
Albana,26.9,89.76923076923077
Tinta de Toro,43.76829268292683,89.70731707317073
Zibibbo,37.26315789473684,89.7
Viognier-Roussanne,38.333333333333336,89.66666666666667
Counoise,33.833333333333336,89.66666666666667
Cabernet Sauvignon-Merlot-Shiraz,16.666666666666668,89.66666666666667
Mataro,42.666666666666664,89.66666666666667
Encruzado,23.785714285714285,89.66666666666667
Champagne Blend,70.18225806451613,89.6652835408022
Baga,35.22222222222222,89.63636363636364
Sherry,25.755102040816325,89.63265306122449
Gros and Petit Manseng,20.263157894736842,89.5909090909091
Carricante,47.77777777777778,89.55555555555556
Zierfandler,34.42857142857143,89.55555555555556
Port,59.59176029962547,89.53719008264463
Veltliner,25.0,89.5
Muskat,20.5,89.5
Altesse,17.75,89.5
